dataset,thread,time,output
DS1,sequential,16.311670263,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,16.092943188,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,15.96533163,Sum of Totients between 1 and 15000 is 68394315
DS1,1,18.42768669,Sum of Totients between 1 and 15000 is 68394315
DS1,1,18.135263656,Sum of Totients between 1 and 15000 is 68394315
DS1,1,18.12956107,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.117134478,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.163907151,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.119192556,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.77699514,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.77233761,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.774475003,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.477473939,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.477615512,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.467504595,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.651637657,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.654549989,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.65255965,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.262490067,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.279121486,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.277666863,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.97603235,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.973562115,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.975777755,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.806706707,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.806615989,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.804023572,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.802732189,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.803211128,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.804876796,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.805483059,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.804182111,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.805879593,Sum of Totients between 1 and 15000 is 68394315
DS2,sequential,67.943837506,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,68.106961735,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,68.184565948,Sum of Totients between 1 and 30000 is 273571773
DS2,1,76.811213688,Sum of Totients between 1 and 30000 is 273571773
DS2,1,77.209987084,Sum of Totients between 1 and 30000 is 273571773
DS2,1,76.918487598,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.561054963,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.553313361,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.567971166,Sum of Totients between 1 and 30000 is 273571773
DS2,4,20.153474927,Sum of Totients between 1 and 30000 is 273571773
DS2,4,20.20205506,Sum of Totients between 1 and 30000 is 273571773
DS2,4,20.172949973,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.452486237,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.447896373,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.449740799,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.976507571,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.969863419,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.9724721,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.254455986,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.264921031,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.270981808,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.112071751,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.117110421,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.119053595,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.395488503,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.391265485,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.395272339,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.388085486,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.388040647,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.392429806,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.384510549,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.398307491,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.390589418,Sum of Totients between 1 and 30000 is 273571773
DS3,8,44.092261114,Sum of Totients between 1 and 60000 is 1094277505
DS3,8,44.092204101,Sum of Totients between 1 and 60000 is 1094277505
DS3,8,44.091006289,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,22.079033662,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,22.075419387,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,22.110716075,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.259415883,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.252519599,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.250563552,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.254745004,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.249099054,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.257101819,Sum of Totients between 1 and 60000 is 1094277505